c this is a generated file
p cnf 4400 20000
3885 3563 -506 -723 0
3263 -4071 -2798 -2726 0
3639 2812 1437 -818 0
2003 208 -2785 -1466 0
871 -2005 3958 2630 0
-1980 -1309 3073 414 0
2639 1330 -2904 -3803 0
2804 -1274 2308 603 0
1779 -4318 -4143 952 0
1939 -2129 1634 3516 0
-3697 -1399 -2174 -3860 0
1335 -220 3955 -175 0
1170 -1404 -725 65 0
-744 1835 3078 -4325 0
3029 836 -349 -2325 0
485 -181 -4160 2493 0
-454 640 -70 -3043 0
2445 -2047 -1402 4000 0
820 2783 4099 3699 0
1301 -1508 -80 2336 0
-2418 -143 4257 -3853 0
4134 -1247 -2344 3709 0
-3157 4041 1515 1107 0
3782 3561 3088 3477 0
243 26 -3855 386 0
2158 225 2456 609 0
-656 4374 4309 -3371 0
-1156 -2651 3944 3385 0
-2535 -859 247 -1614 0
-3455 -3083 3808 -885 0
3762 -1788 484 776 0
2179 -1370 1368 -1213 0
3930 3110 2283 -1046 0
802 1436 -1680 1180 0
-2525 -3811 -1726 -1368 0
2465 2233 260 -3216 0
-2381 -4142 -4221 3809 0
-427 -3237 750 -586 0
-4038 1248 -3155 -708 0
-3408 -3447 2326 -4176 0
-2359 -293 1644 1285 0
2017 -1113 1965 -657 0
-1517 -3105 799 893 0
-12 4159 1129 -3694 0
1190 -2552 -2445 -418 0
875 -2681 753 -1203 0
-1002 -684 -379 694 0
-2495 -2553 -3153 -2813 0
3391 1508 -263 -1867 0
2390 699 3519 -2528 0
-4187 1587 2513 1193 0
-1344 4233 1325 2156 0
1835 1452 2480 -3278 0
-3946 -3822 -2704 3960 0
-3668 2366 -2402 -1730 0
4196 520 -171 3784 0
-681 -4165 2604 1274 0
-3546 -1006 -1736 2789 0
-2755 -2911 362 -714 0
3610 -4221 -1079 -2691 0
-2775 -2694 730 3873 0
1397 -1331 -2092 4272 0
-3944 -676 -3632 92 0
1886 1956 -4350 -1348 0
4146 2187 -1476 4249 0
-3052 -2568 -2646 2690 0
773 2661 -1599 3477 0
-1114 -4117 3878 -3479 0
2541 -2194 425 4168 0
1067 -1601 -341 4217 0
-3099 -3046 184 686 0
3757 -2292 3934 3056 0
1456 3844 -1608 -934 0
308 1629 -1845 2356 0
-2954 454 4379 331 0
2239 -116 3431 -1375 0
-764 2031 2524 -2780 0
-1062 693 -1629 -3202 0
-1214 -1565 -2790 3872 0
1606 -1756 -4263 1178 0
470 -1248 -4217 3284 0
-3164 -4151 -3987 2690 0
591 -2579 2196 1739 0
-3099 -2905 -4326 474 0
1556 -379 -3895 -3487 0
-1632 -2699 1215 -506 0
-1447 1981 -647 -1758 0
-1747 -789 -1797 1538 0
1067 1217 4169 2884 0
-2262 1529 -959 -1178 0
-2226 -1729 3543 4206 0
1074 -331 -1331 1313 0
-3676 3644 -4088 -50 0
1987 311 -1329 1191 0
3019 -2209 3308 2018 0
4288 962 -46 3471 0
-579 -1149 3975 4147 0
-3380 3000 744 -2600 0
1465 152 -2435 -733 0
-3202 -566 2925 1176 0
-1231 3055 2750 1426 0
-1900 3783 1625 -4395 0
-91 1937 -1626 -1317 0
3409 -3858 3739 -367 0
-3011 -578 -4246 -1639 0
-4009 1401 3366 -136 0
3547 1476 -1378 4234 0
-3922 -4180 3278 328 0
1298 -381 -4084 3884 0
3118 -3487 -1776 374 0
-3678 -2413 -4400 1871 0
3801 2403 866 -2647 0
497 -682 4036 2030 0
-1198 284 -489 -3800 0
-805 -1607 394 -4011 0
-1550 1038 708 1644 0
-3443 1043 1696 -4343 0
1474 1566 476 322 0
3639 3866 3846 -4098 0
3025 152 2010 -4122 0
-2460 2136 1797 -1097 0
3809 -4149 -3917 -1583 0
-1760 -2821 1846 -3724 0
-3324 -2874 3009 129 0
1569 2138 -399 -1762 0
-4111 -676 2358 -4289 0
1060 -1866 -3217 1727 0
-2347 3509 4224 2807 0
-4094 3113 1236 618 0
3630 -4270 -1785 -2168 0
4303 1358 3347 3387 0
3179 -3248 -53 1048 0
4352 737 347 943 0
534 -2546 1944 3244 0
2535 3770 -790 1278 0
886 -2269 906 -2184 0
2708 2651 -1979 -2557 0
-858 -123 1951 2215 0
2499 -2231 -823 4280 0
1930 1483 -1939 156 0
1952 3148 -3761 -47 0
510 -2804 -4039 -2725 0
-2949 2901 -3237 -1063 0
-203 2228 2015 -1370 0
1808 531 -441 1588 0
-743 -3492 1310 -1394 0
-2222 1957 -4179 -1000 0
-4221 -49 -1814 232 0
-749 1255 -77 3751 0
-1475 3441 -4331 2381 0
-3801 -935 2135 -2462 0
2439 1988 -439 434 0
1422 2039 -1582 -2694 0
-3167 -134 -2925 3297 0
3598 2612 621 -460 0
-836 -938 -1777 1951 0
-3515 -1955 3013 -1091 0
-121 2993 -2139 945 0
3914 868 2291 -3849 0
-366 -271 693 2518 0
-180 -2640 -880 2505 0
-187 4075 3387 -2032 0
768 -1370 3621 -1242 0
-3716 -3214 -4247 -1535 0
-4066 -781 -3033 -2379 0
-1863 -395 1193 -17 0
2362 -4368 3696 3588 0
3245 3409 -4178 -448 0
-4018 -925 4325 -1192 0
-2065 1189 -2072 4294 0
4326 -188 4080 3159 0
3722 -2603 4327 -879 0
2485 -111 1251 -2078 0
3132 -297 -157 -567 0
3397 2681 741 -571 0
-2666 -543 -2991 2415 0
-506 1049 -3291 -1948 0
635 1350 2958 -3895 0
-2256 677 1365 -680 0
-1011 -172 -2847 4092 0
-1483 1218 -3761 2785 0
-3628 -3541 84 541 0
-1326 -3115 2468 -1293 0
925 969 -2496 448 0
-3050 -160 -942 1895 0
-3298 -2039 3941 783 0
3207 1920 3708 2602 0
871 1655 -160 -2087 0
2932 -649 1332 4249 0
3037 1620 -728 4087 0
329 -1326 171 -1061 0
-2519 -1019 -281 -588 0
3924 -909 -2326 -4315 0
-3641 -886 -3186 4299 0
-3227 1615 181 -916 0
-2993 821 4356 405 0
-25 -1295 2330 2718 0
4087 2649 2382 2606 0
2832 2780 -1886 -3276 0
3378 -798 653 3109 0
939 -2025 3869 -3772 0
3612 -31 1669 45 0
903 -530 367 -4033 0
2161 3060 -2666 3145 0
-3242 -1977 -475 -221 0
-2165 909 900 -4118 0
416 3037 3291 4101 0
-4026 1583 3382 3377 0
1001 2076 -2207 3233 0
699 -1631 -3021 1215 0
-1077 -1983 3367 1483 0
2782 4326 -858 1614 0
-3696 -3323 -948 -1727 0
-3696 -390 -1506 4317 0
-3162 1982 870 1704 0
-607 513 -3014 1932 0
2827 1170 678 -2024 0
2626 528 2490 -3475 0
-1613 -4316 -1369 731 0
853 3836 2913 1321 0
-110 1927 1766 -595 0
4377 -1284 1954 -689 0
3836 -3405 3585 -835 0
402 -1195 -2539 3926 0
2990 2008 3197 783 0
3556 -36 -3872 2222 0
2864 2492 133 -3515 0
-119 3684 -937 2198 0
-4386 -3090 2502 -4128 0
2884 251 2608 2132 0
-4125 -3661 -1219 3633 0
-2153 -2922 2488 -379 0
4317 -2952 1885 -3439 0
-3629 -3240 862 663 0
4376 -2603 -710 -3756 0
156 1419 3806 -3286 0
-812 -2547 -19 -3481 0
-3429 -119 2869 1861 0
-133 -725 348 -457 0
4012 1277 -4050 -1657 0
-3070 2479 -2480 2231 0
-1048 -966 -608 -1579 0
-1271 4054 3212 3817 0
1433 3556 590 -3708 0
410 3131 88 -4010 0
-537 -218 -2945 -171 0
2956 -2520 -858 3544 0
-3966 4111 3439 1144 0
3580 3841 975 -2763 0
-716 -890 2744 1707 0
-2718 -579 1784 -1014 0
3304 2156 3149 964 0
2480 3001 -1268 -2685 0
1422 -3325 -1618 3545 0
2040 4197 3166 351 0
-4109 -1579 -2295 2644 0
3294 3767 -3303 4015 0
-404 2627 -3932 162 0
816 3855 -1138 -1053 0
-145 4212 4370 -892 0
407 1998 -2574 -4290 0
-4121 -3020 -3271 2844 0
-1080 725 -3755 -3686 0
3059 -916 1806 -3814 0
2911 -1419 1036 -941 0
994 -296 -1644 -1108 0
2987 -3387 3888 -4113 0
1070 3249 4135 -752 0
13 1067 -161 -1710 0
-1792 -254 -1225 -91 0
1768 -4172 -3271 -1366 0
-1582 3165 -157 1384 0
4119 -2968 2278 2298 0
581 2472 -499 -452 0
662 -3797 2237 37 0
-4061 -3880 4349 -922 0
3830 -2184 -348 -2603 0
731 -3153 399 -4210 0
1936 2702 -4257 -201 0
-880 -379 4035 -137 0
-3553 593 1995 2515 0
3470 345 -3857 -699 0
1648 -2709 1454 -1224 0
3114 3529 2731 -84 0
-2510 -214 2658 2815 0
2826 1246 3893 -1716 0
-791 3797 -1264 1269 0
-1913 -622 1186 245 0
-787 3477 -1031 3104 0
1561 4073 1756 2231 0
-829 -3537 4331 3870 0
4116 -2161 -3995 -2142 0
-2100 1883 1847 72 0
4189 3652 -1677 -191 0
2057 3705 3811 -2281 0
838 -3199 -1461 -3850 0
3663 -3618 -2296 3730 0
3535 -1420 -121 3141 0
189 -119 -273 1528 0
1403 1067 1090 2616 0
-3189 -19 -609 -1943 0
-3631 -746 -3450 2662 0
2189 1978 1337 3298 0
-2638 1438 1044 -1713 0
-311 2821 183 3364 0
-978 -222 -1056 -1446 0
-4232 -4262 -1792 -604 0
320 -553 -2131 -1954 0
-1824 -3408 1036 440 0
3289 -291 3543 2724 0
-1656 4126 -1228 -3428 0
908 -3975 -998 828 0
4386 950 -3508 -581 0
-138 -2279 131 -3722 0
-448 -3907 4154 -2687 0
-3289 344 -1483 772 0
2827 -3549 -2265 3160 0
2259 1788 2830 -428 0
-1430 1395 -457 -634 0
-2197 -3010 2386 -2942 0
-648 1913 4204 -1352 0
-1571 -3698 2754 -3893 0
3698 319 -1753 -2704 0
3871 -3545 -2140 -119 0
1104 2321 3834 1823 0
3462 -582 3129 698 0
3357 4171 285 2192 0
1781 -4386 179 -254 0
-3584 1857 701 -3293 0
-2861 -3836 248 -1409 0
2537 3469 4350 3744 0
-2067 591 -925 3467 0
4261 -3124 -3721 -3893 0
3252 1631 1696 -654 0
-1286 3778 -818 914 0
613 -3052 -3340 3936 0
222 378 -671 -2130 0
-3641 -409 -3475 1566 0
-4036 210 3618 -3654 0
-1462 -4226 -804 -390 0
-880 -2028 4334 2931 0
2956 -1855 1953 -31 0
1231 -295 3487 -3021 0
-4278 -3899 -1070 -712 0
-3519 218 -868 -598 0
-1688 -481 -1338 -1038 0
3002 -1741 -2467 2329 0
-54 -2985 -3332 -2006 0
4158 -1372 -4061 493 0
-3677 -1805 -620 -2408 0
-1035 -3013 -2444 234 0
245 -2052 -1495 3264 0
-605 751 2694 1228 0
797 3493 3530 3652 0
-3514 1810 -3747 -1312 0
-2780 -3677 -3183 1589 0
2377 -3237 -2860 -2245 0
895 -1516 -2036 -2680 0
703 3755 -4321 164 0
238 -3222 2173 3033 0
-3338 -2516 -1369 3544 0
928 3830 393 1353 0
-1280 1809 -2089 -797 0
3789 -3608 4109 1984 0
3824 -1614 2991 134 0
-3386 2394 -2482 3556 0
3737 2490 1289 -1913 0
-1058 3536 2852 1778 0
4394 -2861 1600 -3294 0
2887 -2552 1431 1979 0
-985 -550 353 -3878 0
3611 -2110 383 -1454 0
-3250 1632 -2313 -254 0
-1651 -1818 -1740 -1926 0
3357 664 2109 1142 0
2818 -2557 -1250 -2052 0
-1617 -3231 3399 -1630 0
-2082 2275 1263 2951 0
267 -1654 1239 3456 0
-673 697 -169 -2893 0
268 3833 869 -2824 0
-886 -3474 -1997 -3521 0
3478 -2528 -17 -799 0
1180 1764 2439 -2890 0
3905 3242 1202 -340 0
1717 578 -1168 1146 0
-3571 -2098 3550 128 0
-3653 -3985 -1335 -392 0
2222 -2795 373 -4017 0
-2119 -3716 -2541 4080 0
864 -2095 -316 2941 0
1425 2535 2349 4118 0
1279 3519 3771 -3798 0
604 3829 2555 1538 0
2527 192 -3841 4221 0
-2930 -1013 -561 -329 0
1635 -1933 563 200 0
-3013 -1848 3197 -1285 0
1058 -4000 -2656 528 0
-3673 -3564 -3319 -2455 0
-1972 -4379 1979 1903 0
133 -3661 4298 -3683 0
191 -4230 -2981 2245 0
2492 -2651 2255 3967 0
903 -3 -1197 3685 0
1962 3532 3558 -2778 0
-850 -1590 3669 1462 0
-1873 3600 -2699 -3563 0
3555 -2711 510 -2883 0
4353 1562 -2861 2270 0
411 -2423 -1769 1235 0
-1988 -513 -1950 4178 0
2291 2377 1255 -4294 0
-1774 261 -2447 1077 0
-3624 -3590 1138 -12 0
4277 -3102 -778 3129 0
3859 -1327 654 -1979 0
1002 571 2647 -3240 0
-2806 1295 2729 2174 0
-880 -806 -3653 -461 0
2843 3839 3794 -13 0
2737 3406 -929 2826 0
-2181 -1986 4308 -3989 0
59 1887 -618 -4229 0
1071 343 -2630 -3660 0
1361 -777 2066 -2371 0
-2412 84 1833 -3627 0
3759 4384 2032 -3120 0
2586 -816 -4390 1644 0
-1763 3658 3862 -942 0
-687 421 3775 -3904 0
644 3508 -1849 276 0
-2393 -2610 -3973 -2583 0
3926 -1732 1791 2798 0
2138 392 -2533 3096 0
-1707 -1110 3005 -1576 0
1015 3566 -2097 -4311 0
-1603 1316 2195 -3923 0
3535 -2810 -3669 -2791 0
3545 3133 -1650 -2114 0
4118 255 -798 75 0
3140 -2544 1395 -2075 0
3335 4276 -1673 -874 0
-698 2833 154 -4167 0
4097 1861 3631 -3648 0
1491 34 -3079 -2438 0
-4015 4076 1891 2806 0
-2243 2109 -3212 -568 0
-3151 -1544 -1819 -4212 0
-1063 2703 -2848 -765 0
3170 2704 974 3641 0
1619 2573 659 -629 0
-4060 2524 -1654 -1881 0
2832 3809 465 4337 0
-2176 -144 1494 -2508 0
-322 2822 -4029 118 0
-3652 -2753 -1458 3115 0
896 -2822 3959 1048 0
-1405 2324 -1980 -1361 0
4034 234 367 69 0
2385 -2002 -2887 -284 0
-1227 -3473 4184 1550 0
3558 -1018 -1286 -3377 0
1734 1872 -4377 -3174 0
3766 3284 -2995 2592 0
-2988 -4332 963 -1011 0
-25 -2447 -471 -91 0
2132 3189 1406 -1918 0
-2656 -2661 4050 -1199 0
428 2230 -1762 -2227 0
2107 2271 -2018 -1588 0
2069 2673 -807 3784 0
-1347 -2412 -3720 3698 0
1392 -1799 3980 -1040 0
-2756 -1180 -2721 1962 0
-1507 -2478 -2189 530 0
-1103 1731 -1205 -4087 0
-2457 2933 -393 -3583 0
-2409 353 3490 1097 0
84 2886 -652 781 0
-3932 -1555 3194 3886 0
-1765 1122 -3113 427 0
319 -4059 3274 549 0
-1992 -1258 -1093 2693 0
-1247 381 -2302 3159 0
3793 63 2362 3228 0
-907 -2402 -222 3536 0
1205 -3128 -3588 818 0
4098 -2441 -1126 1060 0
-2855 -1329 -4049 1018 0
4324 96 -1773 -1510 0
-1678 4096 894 1498 0
-2648 2737 -1106 -1583 0
-1947 -4359 -1839 4020 0
-2921 -839 2161 1709 0
3236 4025 -1471 2131 0
-3062 4035 -1083 -757 0
-1846 -3548 -920 1664 0
2661 805 -1534 4158 0
3877 -42 -3484 389 0
942 -730 -1058 -2266 0
-1390 704 747 -1547 0
-231 -2920 -1639 2188 0
-3654 3688 -73 -3820 0
-1988 1209 1161 -4060 0
2642 3078 3870 -3370 0
603 -2516 2563 -4152 0
-3335 4147 -2287 -375 0
-1145 -3838 40 -1467 0
722 3336 2266 182 0
1744 -4207 2137 1338 0
-1099 -3348 -2962 -3985 0
777 -626 3091 -4227 0
298 2427 -643 3143 0
-2007 4124 -326 -927 0
-2243 592 2666 3899 0
1458 2945 -3076 1898 0
-2 2755 -4067 -1605 0
-3430 2702 -1995 -1110 0
-4350 3994 3 -3685 0
-1436 1091 -105 -3134 0
-1214 -2959 1356 -3085 0
-2706 -3288 2267 -2290 0
-302 -2564 4105 2831 0
3879 151 3588 -3248 0
2046 1668 -1290 2232 0
-1125 -3813 -4175 -3159 0
-403 -3463 -2723 -3967 0
761 -3325 -8 -855 0
-1167 2629 2088 3027 0
65 2961 1357 -1384 0
3484 343 -4386 2432 0
-1744 1108 -2372 -2206 0
1317 -1274 1894 1057 0
-1900 1880 1594 3264 0
-474 -3216 -3315 -1333 0
221 22 2000 -1554 0
617 2368 659 1595 0
4326 702 1197 -890 0
2968 3399 858 -3911 0
2058 -741 -2309 1665 0
2729 3091 -2001 -3586 0
-181 3772 -2317 -2778 0
-3686 -2542 -2399 -3461 0
-111 2853 306 3979 0
-2262 2604 -266 1219 0
1277 -3005 -414 -2121 0
1702 3501 2947 -1782 0
-1496 4003 3750 3139 0
1448 1801 -1262 -2121 0
3778 3457 -3442 676 0
-169 -3014 -1191 3396 0
2456 270 2142 -1069 0
4225 -4186 1361 -153 0
3251 -2069 600 1896 0
211 4303 1957 3931 0
-1642 3625 -3741 -3581 0
2262 -1088 -103 3370 0
2571 -3675 2388 -1023 0
3291 -4227 1340 -3757 0
-182 2779 -2788 3464 0
-1602 231 -1963 -4306 0
117 877 2786 994 0
-4370 -3143 4198 -220 0
71 -899 2528 -2630 0
-1415 1576 3748 -1179 0
-3321 -4021 2086 -2302 0
-254 3426 -2373 -2198 0
-4368 -2667 611 -1427 0
-3590 1547 3522 -3425 0
188 2242 3335 2715 0
-3799 -165 -4304 -3458 0
767 -2574 4318 4164 0
-2860 3477 3976 3290 0
696 -982 -3709 2992 0
932 -3102 4138 -1876 0
-4256 3981 -4088 -805 0
-2752 -4059 1046 1218 0
4045 2103 -1386 -1486 0
-4281 -2396 460 -3933 0
-1505 1161 -4148 -68 0
3762 -2153 3186 3445 0
2164 -769 3944 -3264 0
294 481 -468 -3412 0
1718 4039 2536 1837 0
1364 807 -2177 -2198 0
3818 -3946 -4274 560 0
1995 -843 1825 -43 0
118 -2993 1643 -1368 0
2962 -2241 2030 -1842 0
-2147 3264 223 -1714 0
2301 3696 4195 -1290 0
-2740 -3484 -3948 -481 0
-2871 -2152 -4280 3965 0
3362 253 1484 2950 0
-93 1932 3409 -1226 0
-3930 -3010 -3019 2402 0
2519 3621 -1390 -3115 0
-3362 3527 2223 -517 0
105 3574 3337 2235 0
4107 1520 -2577 -3009 0
1587 1900 35 -1490 0
1824 2521 -1655 3442 0
3925 -2062 -2684 875 0
553 -688 4111 56 0
-4253 -462 -1937 3889 0
203 -3035 -2340 -2672 0
-2799 924 -1990 2752 0
-3705 2750 -2604 -1203 0
-2190 -647 2410 -1187 0
-4275 3436 1700 1072 0
-1284 -1916 -2967 -1154 0
1284 2746 1597 -3650 0
-2061 2421 402 902 0
-283 3674 1075 -1918 0
-443 4047 944 286 0
-3940 2137 -3510 -3501 0
-1725 -658 361 890 0
-1260 1211 -2198 -1215 0
850 4252 4078 615 0
2387 2124 1683 819 0
-2790 -2667 340 -3092 0
2795 -2635 -1989 1578 0
723 1971 -3681 2244 0
1636 -456 -2060 1301 0
1925 3861 -1255 -615 0
3043 3821 1904 1741 0
3987 3933 2824 2316 0
3674 1260 -1111 3661 0
-810 2720 -606 -4021 0
78 583 547 2839 0
2354 1967 -3073 -1897 0
-1606 -4314 3945 -4391 0
-959 4364 2350 3346 0
483 -2519 -394 3414 0
4351 -3617 -572 -2700 0
-3264 1440 -2460 3890 0
-2521 397 1002 -3085 0
-4234 -4355 -946 2039 0
-2427 -1155 -3306 749 0
867 -1626 4336 -510 0
-48 1665 -3243 4044 0
-4270 -4347 -4185 2445 0
-282 817 -1196 -1725 0
28 -369 3658 -2965 0
2399 2712 4274 3486 0
-2331 3214 -3094 3004 0
-143 1687 -1719 -210 0
-3988 -3903 -4173 -1413 0
-235 965 -60 -1532 0
-484 1121 243 -1939 0
1710 -846 -4323 -2015 0
-2214 387 1217 -3247 0
-1468 -3875 -1768 -936 0
3614 136 -3421 2266 0
744 -1820 58 -385 0
-3225 229 -3994 -116 0
-3939 -2967 -4210 -3281 0
-4131 1968 4286 4293 0
2133 -2217 -4161 994 0
3407 -3134 -3939 -1143 0
1642 -957 2593 -3377 0
-2977 -146 860 3838 0
-2291 4103 1950 2644 0
1356 -3670 488 -2089 0
4116 -597 3363 -823 0
-999 -3568 2248 2461 0
-1901 2304 -2312 4234 0
2442 -3618 3434 3932 0
-2117 -4217 -3578 -3359 0
1427 3856 1059 145 0
3819 -3212 -3426 -1096 0
187 -3957 4280 -3277 0
-1223 -3257 1041 3961 0
-4253 -252 2592 3849 0
-2587 2080 -1833 449 0
-1099 2991 2054 -200 0
-3865 4064 3045 -3769 0
1870 -3538 -857 -92 0
328 -1753 995 528 0
-2566 1037 -2707 2628 0
-1691 -483 4135 -427 0
-3727 -3432 -1037 -3984 0
3363 4244 79 1913 0
2984 -3388 -271 2883 0
3431 2238 1367 3854 0
-1672 -2863 2221 2006 0
1523 2840 2249 2615 0
2232 1205 1662 1729 0
4307 -2540 3300 1634 0
3764 -1879 2720 2980 0
-4362 1044 2585 3551 0
-2862 -1992 3571 3308 0
-1882 -1232 -3873 2730 0
-3444 2681 -3724 -2645 0
-3008 -1132 3742 2148 0
-2332 -338 -484 -3421 0
-242 -3878 3750 -1930 0
-3287 3949 3489 -994 0
-764 -1768 -3563 58 0
4152 -2158 1272 243 0
-1919 -541 1844 3303 0
-3493 -4128 -15 2992 0
1682 -721 -152 -3438 0
-2690 3451 -2050 2117 0
-3037 -1297 -1003 2157 0
4106 -920 -2615 -62 0
-924 -3990 3665 3366 0
-367 -2225 -3341 2836 0
3459 1064 -1150 3722 0
-2365 -3067 -130 -2005 0
1983 3092 -4220 143 0
4157 3106 -3144 -3674 0
-2351 -3001 -4303 2840 0
-2812 -3633 -2711 1681 0
3721 1327 -2518 -3779 0
-2312 -216 4055 2577 0
3831 -74 1469 4143 0
4103 -1491 -1587 2897 0
-3925 -1560 4151 -3399 0
-1202 -235 821 -2383 0
32 3162 1471 -1667 0
-1780 3379 329 1165 0
2073 1983 -382 2165 0
-2791 1600 -4197 1093 0
-3087 3870 2174 1419 0
502 4289 -100 -1030 0
-3531 -4378 2165 -4217 0
3395 -315 1031 2713 0
1686 1162 3872 4350 0
-1477 996 -1528 320 0
-2101 -3783 618 -2696 0
691 -3746 414 -1910 0
2232 -3026 2790 -2946 0
4304 -1549 2515 2229 0
1565 341 -626 -2698 0
-1319 1369 3441 3098 0
-2900 2358 3928 -505 0
3534 -2546 -1892 -2571 0
3127 640 935 -3336 0
-1723 -557 -1414 4392 0
1268 -3451 -258 3117 0
-60 -3240 1971 120 0
-3824 3167 611 -1697 0
104 823 2986 2630 0
3256 -1480 4188 -2630 0
1206 958 3321 -1848 0
-1132 2777 -2336 -1187 0
3960 834 -1266 3831 0
1343 -171 3854 4049 0
-2192 -1862 -3091 1277 0
3034 -397 -3458 854 0
1068 -4155 839 438 0
3545 3435 -562 -2957 0
2058 -3500 2967 -760 0
498 -3440 3098 746 0
3000 -3425 -2250 2913 0
2944 -1855 778 -3362 0
1497 1868 -3807 2558 0
916 -2668 -2193 -1569 0
3271 2760 1900 -2027 0
-3890 -1815 4089 1260 0
2745 2782 -716 2343 0
4002 -3753 -2613 1172 0
1979 -3901 2913 1254 0
-3803 4191 2785 -1743 0
2327 2065 297 -450 0
-2083 257 -2460 -1097 0
-3523 2690 -3404 -1168 0
-2039 1568 75 1779 0
-3025 4229 -3320 3681 0
1265 3889 1616 2405 0
-3803 3748 811 -3006 0
203 1580 2233 -3252 0
3420 -3996 -1628 -77 0
-2702 1448 -2179 1309 0
4017 -4029 1915 1586 0
-3972 -1908 3788 3134 0
-1046 3202 1553 652 0
543 -168 -3783 -1912 0
-1815 708 -3652 -3804 0
1397 1578 1599 -1400 0
4269 -3139 1473 -354 0
-1478 1584 -404 -2951 0
3508 -2649 2573 -3743 0
-3131 -1752 -3432 2855 0
436 -370 -3806 -3294 0
3881 3559 1135 -214 0
3134 4096 3036 -1161 0
872 1003 -1206 3095 0
439 -548 -2460 1399 0
-3021 3934 4176 -398 0
2346 -1496 1720 -4271 0
-1102 -2849 3705 4120 0
1030 135 -602 2089 0
1142 1842 -2762 2823 0
-4248 3429 -608 1569 0
-3630 -351 -2895 -3618 0
240 -463 -3754 -4054 0
-3087 -2903 1152 -856 0
-1934 -2667 -1721 1391 0
-2777 -241 2179 2813 0
-2931 -4356 2828 -54 0
-2048 -4001 3361 -1769 0
2208 -1555 1606 -2146 0
-200 3769 1830 2100 0
274 3072 -1946 -447 0
1850 -2892 3612 453 0
-715 -1585 2065 -1538 0
551 1378 1142 -1154 0
975 3327 354 -1180 0
4289 -4024 -445 -3531 0
-3631 3523 2615 2307 0
1497 -2482 -599 3774 0
-3627 250 -3954 -841 0
1159 2019 1148 561 0
3991 1267 3788 -3612 0
687 1937 -1455 1866 0
-3944 3240 -2156 1755 0
3516 3707 -3793 2008 0
573 2220 -3388 1738 0
-3454 -1119 1277 4212 0
-706 -10 -4068 -4307 0
-3337 3355 -4397 4134 0
-3202 -2366 -437 -3081 0
669 -2442 2005 1318 0
3398 -4194 -3626 286 0
-3869 410 990 -2975 0
-1457 -1681 -22 3469 0
-2884 2220 1626 -3308 0
-2025 -3464 1715 -2023 0
32 -4215 3789 1283 0
3362 1955 -3599 -1799 0
1746 837 4147 -3266 0
-938 1204 -1809 970 0
834 -915 -723 2768 0
-1664 -1814 4018 -2544 0
-3810 -2942 -95 -2252 0
-1335 -296 3635 3143 0
-1661 -3674 -401 -3713 0
4133 1433 2423 -4393 0
4341 722 -1998 -1523 0
3664 -3721 3135 2803 0
-2185 3902 3261 -112 0
1314 -491 -3893 4042 0
-1039 2307 -807 2654 0
3042 -3713 525 3013 0
-2424 -3028 1213 -3939 0
-4218 -191 3110 1866 0
3995 941 4067 4368 0
-3541 -2559 -3991 -2898 0
-2108 3259 1013 1756 0
1213 3007 3329 -1138 0
-1833 -899 -3030 -547 0
2559 -2179 -1294 1217 0
202 246 -3240 2776 0
-2980 -2643 -269 2904 0
-1032 -3266 3187 2411 0
-1073 -3891 -220 -406 0
2027 2448 2967 -3855 0
3579 4026 2819 -1494 0
3400 -2298 -2696 -1769 0
-1185 4367 -2361 -827 0
680 3985 -4102 -3929 0
3033 3449 2276 -452 0
-4259 1036 3544 -1176 0
-508 1271 -3994 3097 0
-3764 -100 483 -16 0
-2280 1023 -3484 -3637 0
3554 1303 -852 -1786 0
-4157 -1720 285 -773 0
4180 -4218 -3003 402 0
-29 4344 4001 1188 0
-2738 1706 -1656 -3684 0
2873 2389 732 -2586 0
3303 3452 4251 2023 0
1734 3609 -1424 1895 0
227 -2192 -2231 1123 0
-1798 -4342 -537 -2855 0
-3053 2090 -4392 -2007 0
473 -1489 -1979 -741 0
3912 4150 -355 -1194 0
-150 -3955 -2706 -133 0
-388 -3436 -1682 -1317 0
-1511 2845 3351 2162 0
2757 1429 -3104 -4302 0
2448 -1991 645 -2052 0
-311 4129 2686 -1730 0
-4119 2599 -3857 -2697 0
-1093 -2917 -572 -683 0
-226 1607 2763 -3789 0
-2577 725 -1948 3905 0
381 2535 150 3875 0
1192 109 -3343 -1518 0
-3487 -2090 3425 1137 0
2503 -3127 -3527 3668 0
-3177 -3440 383 -1853 0
-2983 2344 2623 3208 0
-462 602 -3478 4199 0
314 -962 -1734 -1745 0
309 -2403 1354 3397 0
-1606 572 1278 -1329 0
1180 -2911 2313 771 0
-936 3028 2010 -1945 0
-2023 -216 2331 27 0
902 -1925 228 908 0
-2601 2315 4370 -831 0
3782 71 861 3228 0
4310 3465 477 3587 0
174 857 2211 1002 0
3072 -1974 -948 2914 0
3837 4376 203 3243 0
-1062 1258 1887 -4003 0
2697 -1370 1057 2628 0
-1459 -425 2847 3358 0
745 3422 -688 4019 0
2328 3894 3186 -3283 0
2151 -867 1037 -1198 0
-989 3878 -4006 -3683 0
-1713 -47 506 334 0
731 2984 -2904 846 0
-2096 2155 4362 -405 0
-3527 1623 -284 -2058 0
-3840 3046 -92 4055 0
3892 2464 4227 1490 0
-3882 3038 -3218 1566 0
1642 -515 2315 -3495 0
